Sujeto,Id,Tipo de señales,Exactitud,Forward,Backward,Left,Right,Up,Down,Rest,loss,accuracy,categorical_accuracy,categorical_crossentropy
11,002,Combinación,51.39573070607554,0.08333333333333333,0.5460750853242321,0.6405529953917051,0.7333333333333333,0.42677824267782427,0.4936708860759494,0.4793388429752066
13,002,EMG,48.460590839385986,0.30179028132992325,0.587012987012987,0.704225352112676,0.3269230769230769,1.0,0.2857142857142857,0.446985446985447,1.4615839719772339,0.48460590839385986,0.48460590839385986,1.4615839719772339
13,002,EEG,15.332512557506561,0.0,0.0,0.14702154626108999,0.0,0.0,0.42857142857142855,1.0,1.9859297275543213,0.1533251255750656,0.1533251255750656,1.9859297275543213
13,002,Combinación,51.970443349753694,0.3586206896551724,0.565,0.7204301075268817,0.35294117647058826,0.5707762557077626,0.3,0.42857142857142855
21,002,EMG,33.62068831920624,0.17857142857142858,0.4607329842931937,1.0,0.024390243902439025,0.38,0.1654501216545012,0.39862542955326463,1.7717407941818237,0.3362068831920624,0.3362068831920624,1.7717407941818237
21,002,EEG,22.66009896993637,0.1782477341389728,0.08695652173913043,0.0,0.16326530612244897,0.2627118644067797,0.12378640776699029,0.7535211267605634,1.8487238883972168,0.2266009896993637,0.2266009896993637,1.8487238883972168
21,002,Combinación,35.09852216748769,0.0,0.4954682779456193,0.3308270676691729,0.0,0.2346368715083799,0.16666666666666666,0.3531202435312024
25,002,EMG,33.497536182403564,0.2857142857142857,0.2136125654450262,0.6847826086956522,0.7,0.27906976744186046,0.6896551724137931,0.48945147679324896,1.6834208965301514,0.33497536182403564,0.33497536182403564,1.6834208965301514
25,002,EEG,26.293104887008667,0.24947145877378435,0.09090909090909091,0.36585365853658536,0.20238095238095238,0.0,0.15736040609137056,0.3466003316749585,1.7963814735412598,0.26293104887008667,0.26293104887008667,1.7963814735412598
25,002,Combinación,27.832512315270936,0.21311475409836064,0.22829131652661064,0.9166666666666666,0.0,0.0,0.7857142857142857,0.29255989911727615
2,003,EMG,27.262812852859497,0.0,0.16023738872403562,0.7341772151898734,0.25252525252525254,0.0,0.3619047619047619,0.0,1.913892149925232,0.27262812852859497,0.27262812852859497,1.913892149925232
2,003,EEG,19.62922513484955,0.1651376146788991,0.0,0.0,0.14736842105263157,0.10204081632653061,0.15841584158415842,0.7142857142857143,1.903107762336731,0.19629225134849548,0.19629225134849548,1.903107762336731
2,003,Combinación,27.589967284623775,0.41935483870967744,0.09195402298850575,0.47878787878787876,0.23224043715846995,0.0,0.38095238095238093,0.2631578947368421
7,003,EMG,44.08867061138153,0.39344262295081966,1.0,1.0,0.35,0.3940149625935162,0.2638580931263858,0.655367231638418,1.4120720624923706,0.4408867061138153,0.4408867061138153,1.4120720624923706
7,003,EEG,15.825122594833374,0.13114754098360656,0.1436907366885485,0.0,0.0,0.0,0.21951219512195122,0.37719298245614036,1.9914722442626953,0.15825122594833374,0.15825122594833374,1.9914722442626953
7,003,Combinación,45.320197044334975,0.49242424242424243,0.8235294117647058,0.6688741721854304,0.3532110091743119,0.475,0.2459016393442623,0.43609022556390975
11,003,EMG,17.07717627286911,0.19047619047619047,0.0,0.22666666666666666,0.5238095238095238,0.6,0.17061143984220908,0.0,5.289602279663086,0.1707717627286911,0.1707717627286911,5.289602279663086
11,003,EEG,15.763546526432037,0.09090909090909091,0.0,0.0,0.1388888888888889,0.1111111111111111,0.14516129032258066,0.4492753623188406,1.963497519493103,0.15763546526432037,0.15763546526432037,1.963497519493103
11,003,Combinación,16.666666666666664,0.1111111111111111,0.01,0.23478260869565218,0.0,0.5,0.1795142555438226,0.0
13,003,EMG,37.068966031074524,0.28852459016393445,0.8608695652173913,0.5739644970414202,0.2517482517482518,0.2261904761904762,0.24213075060532688,0.503968253968254,1.759993076324463,0.37068966031074524,0.37068966031074524,1.759993076324463
13,003,EEG,14.28571492433548,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.946763515472412,0.1428571492433548,0.1428571492433548,1.946763515472412
13,003,Combinación,41.13300492610838,0.0,0.7947019867549668,0.5609756097560976,0.0,0.29014598540145986,0.2638888888888889,0.4593967517401392
21,003,EMG,34.42118167877197,0.0,0.5323383084577115,0.42857142857142855,0.13157894736842105,0.3241106719367589,0.18439716312056736,0.5550239234449761,1.6444220542907715,0.3442118167877197,0.3442118167877197,1.6444220542907715
21,003,EEG,21.182265877723694,0.0,0.0,0.0,0.0,0.15384615384615385,0.5,0.6818181818181818,1.8711732625961304,0.21182265877723694,0.21182265877723694,1.8711732625961304
21,003,Combinación,32.758620689655174,0.0,0.32339449541284404,0.259581881533101,0.0,0.2857142857142857,0.0,0.4006908462867012
25,003,EMG,32.88177251815796,0.17105263157894737,0.2296983758700696,1.0,0.18518518518518517,0.0,0.26614173228346455,0.5345622119815668,1.6904953718185425,0.3288177251815796,0.3288177251815796,1.6904953718185425
25,003,EEG,24.322660267353058,0.21867321867321868,0.25925925925925924,0.17307692307692307,0.046511627906976744,0.07142857142857142,0.0,0.4271356783919598,1.8103210926055908,0.24322660267353058,0.24322660267353058,1.8103210926055908
25,003,Combinación,28.448275862068968,0.3333333333333333,0.22816901408450704,0.8421052631578947,0.0,0.0,0.25272331154684097,0.3016905071521456
2,004,EMG,26.826608180999756,0.0,0.09090909090909091,0.9714285714285714,0.018518518518518517,0.0,0.7090909090909091,0.1882183908045977,2.7383594512939453,0.26826608180999756,0.26826608180999756,2.7383594512939453
2,004,EEG,21.374045312404633,0.1875,0.0,0.0,0.19318181818181818,0.14960629921259844,0.2727272727272727,0.6,1.9358638525009155,0.21374045312404633,0.21374045312404633,1.9358638525009155
